0.000000	0.000000	b;soft
0.819302	0.819302	b;loud
1.945841	1.945841	b;soft
2.990442	2.990442	b;loud
4.086271	4.086271	c;soft
5.294492	5.294492	c;loud
6.193634	6.193634	c;soft
7.120874	7.120874	c;loud
8.041990	8.041990	d;soft
8.975353	8.975353	d;loud
9.930691	9.930691	d;soft
10.914127	10.914127	d;loud
11.858594	11.858594	e;soft
12.689941	12.689941	e;loud
13.833042	13.833042	e;soft
14.677379	14.677379	e;loud
15.378827	15.378827	f;soft
16.489953	16.489953	f;loud
17.497266	17.497266	f;soft
18.405499	18.405499	f;loud
19.602715	19.602715	g;soft
20.593515	20.593515	g;loud
21.715023	21.715023	g;soft
22.598486	22.598486	g;loud
23.828729	23.828729	h;soft
24.769988	24.769988	h;loud
25.851611	25.851611	h;soft
26.891951	26.891951	h;loud 
28.039627	28.039627	j;soft
28.898320	28.898320	j;loud
30.037739	30.037739	j;soft
30.731299	30.731299	j;loud
31.978055	31.978055	m;soft
33.026651	33.026651	m;loud
34.083504	34.083504	m;soft
34.942197	34.942197	m;loud
35.792633	35.792633	o;soft
36.865999	36.865999	o;loud
38.063216	38.063216	o;soft
38.798059	38.798059	o;loud
39.681521	39.681521	p;soft
40.598011	40.598011	p;loud
41.597067	41.597067	p;soft
42.472274	42.472274	p;loud
43.768570	43.768570	r;soft
44.734599	44.734599	r;loud
45.568522	45.568522	r;soft
46.352905	46.352905	r;loud
47.500581	47.500581	s;soft
48.953754	48.953754	s;loud
50.464723	50.464723	s;soft
51.397726	51.397726	s;loud
52.702279	52.702279	t;soft
53.618768	53.618768	t;loud
54.964604	54.964604	t;soft
55.905864	55.905864	t;loud
56.789327	56.789327	w;soft
57.400320	57.400320	w;loud
58.531483	58.531483	w;soft
59.580079	59.580079	w;loud
60.463542	60.463542	z;soft
61.768094	61.768094	z;loud
63.014851	63.014851	z;soft
63.749694	63.749694	z;loud
